ID,ANIO,MES,TIPO_INCIDENTE,TIPO_DETALLE,COD_LOCALIDAD,LOCALIDAD,COD_UPZ,UPZ,CANT_INCIDENTES
20150104UPZ33904,2015,1,904,HURTO EFECTUADO,4,SAN CRISTÓBAL,UPZ33,SOSIEGO,12
20150104UPZ33905,2015,1,905,ATRACO / HURTO EN PROCESO,4,SAN CRISTÓBAL,UPZ33,SOSIEGO,63
20150104UPZ34904,2015,1,904,HURTO EFECTUADO,4,SAN CRISTÓBAL,UPZ34,20 DE JULIO,38
20150104UPZ34905,2015,1,905,ATRACO / HURTO EN PROCESO,4,SAN CRISTÓBAL,UPZ34,20 DE JULIO,104
20150104UPZ50904,2015,1,904,HURTO EFECTUADO,4,SAN CRISTÓBAL,UPZ50,LA GLORIA,41
20150104UPZ50905,2015,1,905,ATRACO / HURTO EN PROCESO,4,SAN CRISTÓBAL,UPZ50,LA GLORIA,105
20150104UPZ51904,2015,1,904,HURTO EFECTUADO,4,SAN CRISTÓBAL,UPZ51,LOS LIBERTADORES,18
20150104UPZ51905,2015,1,905,ATRACO / HURTO EN PROCESO,4,SAN CRISTÓBAL,UPZ51,LOS LIBERTADORES,79
20150104UPZ95905,2015,1,905,ATRACO / HURTO EN PROCESO,4,SAN CRISTÓBAL,UPZ95,LAS CRUCES,2
20150104UPZ999904,2015,1,904,HURTO EFECTUADO,4,SAN CRISTÓBAL,UPZ999,SIN LOCALIZACION,11
20150104UPZ999905,2015,1,905,ATRACO / HURTO EN PROCESO,4,SAN CRISTÓBAL,UPZ999,SIN LOCALIZACION,70
20150105UPR3904,2015,1,904,HURTO EFECTUADO,5,USME,UPR3,UPR RIO TUNJUELO,11
20150105UPR3905,2015,1,905,ATRACO / HURTO EN PROCESO,5,USME,UPR3,UPR RIO TUNJUELO,54
20150105UPZ52904,2015,1,904,HURTO EFECTUADO,5,USME,UPZ52,LA FLORA,6
20150105UPZ52905,2015,1,905,ATRACO / HURTO EN PROCESO,5,USME,UPZ52,LA FLORA,16
20150105UPZ56904,2015,1,904,HURTO EFECTUADO,5,USME,UPZ56,DANUBIO,5
20150105UPZ56905,2015,1,905,ATRACO / HURTO EN PROCESO,5,USME,UPZ56,DANUBIO,29
20150105UPZ57904,2015,1,904,HURTO EFECTUADO,5,USME,UPZ57,GRAN YOMASA,46
20150105UPZ57905,2015,1,905,ATRACO / HURTO EN PROCESO,5,USME,UPZ57,GRAN YOMASA,81
20150105UPZ58904,2015,1,904,HURTO EFECTUADO,5,USME,UPZ58,COMUNEROS,30
20150105UPZ58905,2015,1,905,ATRACO / HURTO EN PROCESO,5,USME,UPZ58,COMUNEROS,76
20150105UPZ59904,2015,1,904,HURTO EFECTUADO,5,USME,UPZ59,ALFONSO LOPEZ,12
20150105UPZ59905,2015,1,905,ATRACO / HURTO EN PROCESO,5,USME,UPZ59,ALFONSO LOPEZ,40
20150105UPZ61904,2015,1,904,HURTO EFECTUADO,5,USME,UPZ61,CIUDAD USME,3
20150105UPZ61905,2015,1,905,ATRACO / HURTO EN PROCESO,5,USME,UPZ61,CIUDAD USME,14
20150105UPZ999905,2015,1,905,ATRACO / HURTO EN PROCESO,5,USME,UPZ999,SIN LOCALIZACION,2
20150106UPZ42904,2015,1,904,HURTO EFECTUADO,6,TUNJUELITO,UPZ42,VENECIA,73
20150106UPZ42905,2015,1,905,ATRACO / HURTO EN PROCESO,6,TUNJUELITO,UPZ42,VENECIA,199
20150106UPZ62904,2015,1,904,HURTO EFECTUADO,6,TUNJUELITO,UPZ62,TUNJUELITO,18
20150106UPZ62905,2015,1,905,ATRACO / HURTO EN PROCESO,6,TUNJUELITO,UPZ62,TUNJUELITO,73
20150107UPZ49904,2015,1,904,HURTO EFECTUADO,7,BOSA,UPZ49,APOGEO,4
20150107UPZ49905,2015,1,905,ATRACO / HURTO EN PROCESO,7,BOSA,UPZ49,APOGEO,18
20150107UPZ84904,2015,1,904,HURTO EFECTUADO,7,BOSA,UPZ84,BOSA OCCIDENTAL,81
20150107UPZ84905,2015,1,905,ATRACO / HURTO EN PROCESO,7,BOSA,UPZ84,BOSA OCCIDENTAL,230
20150107UPZ85904,2015,1,904,HURTO EFECTUADO,7,BOSA,UPZ85,BOSA CENTRAL,68
20150107UPZ85905,2015,1,905,ATRACO / HURTO EN PROCESO,7,BOSA,UPZ85,BOSA CENTRAL,120
20150107UPZ86904,2015,1,904,HURTO EFECTUADO,7,BOSA,UPZ86,EL PORVENIR,31
20150107UPZ86905,2015,1,905,ATRACO / HURTO EN PROCESO,7,BOSA,UPZ86,EL PORVENIR,77
20150107UPZ87904,2015,1,904,HURTO EFECTUADO,7,BOSA,UPZ87,TINTAL SUR,13
20150107UPZ87905,2015,1,905,ATRACO / HURTO EN PROCESO,7,BOSA,UPZ87,TINTAL SUR,18
20150108UPZ113904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ113,BAVARIA,12
20150108UPZ113905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ113,BAVARIA,35
20150108UPZ44904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ44,AMERICAS,41
20150108UPZ44905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ44,AMERICAS,152
20150108UPZ45904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ45,CARVAJAL,34
20150108UPZ45905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ45,CARVAJAL,130
20150108UPZ46904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ46,CASTILLA,51
20150108UPZ46905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ46,CASTILLA,100
20150108UPZ47904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ47,KENNEDY CENTRAL,83
20150108UPZ47905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ47,KENNEDY CENTRAL,291
20150108UPZ48904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ48,TIMIZA,28
20150108UPZ48905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ48,TIMIZA,79
20150108UPZ78904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ78,TINTAL NORTE,12
20150108UPZ78905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ78,TINTAL NORTE,29
20150108UPZ79904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ79,CALANDAIMA,17
20150108UPZ79905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ79,CALANDAIMA,41
20150108UPZ80904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ80,CORABASTOS,14
20150108UPZ80905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ80,CORABASTOS,61
20150108UPZ81904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ81,GRAN BRITALIA,20
20150108UPZ81905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ81,GRAN BRITALIA,36
20150108UPZ82904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ82,PATIO BONITO,52
20150108UPZ82905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ82,PATIO BONITO,138
20150108UPZ83904,2015,1,904,HURTO EFECTUADO,8,KENNEDY,UPZ83,LAS MARGARITAS,5
